k,c,freq,rms,variacao,mecanismo,oscilacao,amplitude_m,rms_harmonico,transmissibilidade
2000.0,200.0,0.1,0.0045521,k,2,y,0.01,0.002696,1.6884643916913946
2000.0,200.0,0.2,0.0131589,k,2,y,0.01,0.011463,1.1479455639884848
2000.0,200.0,0.3,0.025423,k,2,y,0.01,0.024664,1.0307735971456375
2000.0,200.0,0.4,0.0449167,k,2,y,0.01,0.045022,0.9976611434409843
2000.0,200.0,0.5,0.0694321,k,2,y,0.01,0.069789,0.9948860135551447
2000.0,200.0,0.6,0.100291,k,2,y,0.01,0.099902,1.003893815939621
2000.0,200.0,0.7,0.140261,k,2,y,0.01,0.137821,1.0177041234644937
2000.0,200.0,0.8,0.182981,k,2,y,0.01,0.177426,1.0313088273421032
2000.0,200.0,0.9,0.237314,k,2,y,0.01,0.22688,1.0459890691114246
2000.0,200.0,1.0,0.295947,k,2,y,0.01,0.279155,1.0601529616163066
2000.0,200.0,1.1,0.36105,k,2,y,0.01,0.33664,1.0725106939163498
2000.0,200.0,1.2,0.438168,k,2,y,0.01,0.403739,1.0852753883077928
2000.0,200.0,1.3,0.5149229999999999,k,2,y,0.01,0.469748,1.0961685840067439
2000.0,200.0,1.4,0.605957,k,2,y,0.01,0.54827,1.105216407974173
2000.0,200.0,1.5,0.700439,k,2,y,0.01,0.628098,1.1151747020369434
2000.0,200.0,1.6,0.7992,k,2,y,0.01,0.712912,1.1210359763897928
2000.0,200.0,1.7,0.912582,k,2,y,0.01,0.809216,1.1277359814931982
2000.0,200.0,1.8,1.0214,k,2,y,0.01,0.901631,1.1328359384271394
2000.0,200.0,1.9,1.14527,k,2,y,0.01,1.009191,1.1348396884236978
2000.0,200.0,2.0,1.27178,k,2,y,0.01,1.116618,1.138957100816931
2000.0,200.0,2.1,1.39846,k,2,y,0.01,1.228716,1.138147464507665
2000.0,200.0,2.2,1.54228,k,2,y,0.01,1.354252,1.1388426969278982
2000.0,200.0,2.3,1.6764400000000002,k,2,y,0.01,1.473076,1.138053976848445
2000.0,200.0,2.4,1.82502,k,2,y,0.01,1.609644,1.1338034994073223
2000.0,200.0,2.5,1.97696,k,2,y,0.01,1.744716,1.1331127816790814
2000.0,200.0,2.6,2.12278,k,2,y,0.01,1.884053,1.1267092804714094
2000.0,200.0,2.7,2.28823,k,2,y,0.01,2.038847,1.1223157009819766
2000.0,200.0,2.8,2.441,k,2,y,0.01,2.184083,1.117631518582398
2000.0,200.0,2.9,2.605,k,2,y,0.01,2.349628,1.1086861409550788
2000.0,200.0,3.0,2.7738,k,2,y,0.01,2.512391,1.104047897003293
2000.0,200.0,3.1,2.93193,k,2,y,0.01,2.678924,1.0944431420973495
2000.0,200.0,3.2,3.11076,k,2,y,0.01,2.862999,1.0865389753890937
2000.0,200.0,3.3,3.27357,k,2,y,0.01,3.034651,1.0787303053959088
2000.0,200.0,3.4,3.4460900000000003,k,2,y,0.01,3.229143,1.06718407949106
2000.0,200.0,3.5,3.62549,k,2,y,0.01,3.419643,1.0601954648482312
2000.0,200.0,3.6,3.7874,k,2,y,0.01,3.613328,1.0481749788560573
2000.0,200.0,3.7,3.97313,k,2,y,0.01,3.82671,1.0382626329144355
2000.0,200.0,3.8,4.14234,k,2,y,0.01,4.024783,1.0292082827819535
2000.0,200.0,3.9,4.31575,k,2,y,0.01,4.248188,1.015903721775025
2000.0,200.0,4.0,4.50012,k,2,y,0.01,4.466473,1.0075332370754284
2000.0,200.0,4.1,4.6642800000000015,k,2,y,0.01,4.687267,0.9950958628983587
2000.0,200.0,4.2,4.8510300000000015,k,2,y,0.01,4.929977,0.9839863350275267
2000.0,200.0,4.3,5.02099,k,2,y,0.01,5.154477,0.9741027072193746
2000.0,200.0,4.4,5.19436,k,2,y,0.01,5.406764,0.960715133858256
2000.0,200.0,4.5,5.3799800000000015,k,2,y,0.01,5.65288,0.9517237231287418
2000.0,200.0,4.6,5.540019999999998,k,2,y,0.01,5.900739,0.9388688433770751
2000.0,200.0,4.7,5.72653,k,2,y,0.01,6.172801,0.9277036470153501
2000.0,200.0,4.8,5.89663,k,2,y,0.01,6.423734,0.9179442984407512
2000.0,200.0,4.9,6.06384,k,2,y,0.01,6.704869,0.9043935086576634
2000.0,200.0,5.0,6.24931,k,2,y,0.01,6.978864,0.8954623560510708
2000.0,200.0,5.1,6.40782,k,2,y,0.01,7.253746,0.8833808076544175
2000.0,200.0,5.2,6.5895100000000015,k,2,y,0.01,7.555182,0.8721841512223003
2000.0,200.0,5.3,6.75715,k,2,y,0.01,7.832555,0.8627006130183573
2000.0,200.0,5.4,6.9218600000000015,k,2,y,0.01,8.142505,0.8500897451091527
2000.0,200.0,5.5,7.10429,k,2,y,0.01,8.444426,0.8412993375748689
2000.0,200.0,5.6,7.25621,k,2,y,0.01,8.746287,0.8296331917761217
2000.0,200.0,5.7,7.43565,k,2,y,0.01,9.077119,0.8191640982122191
2000.0,200.0,5.8,7.60072,k,2,y,0.01,9.38094,0.8102301048722196
2000.0,200.0,5.9,7.75668,k,2,y,0.01,9.719671,0.798039357505002
2000.0,200.0,6.0,7.937419999999999,k,2,y,0.01,10.049564,0.7898272999704264
2000.0,200.0,6.1,8.08652,k,2,y,0.01,10.378363,0.77917105038627
2000.0,200.0,6.2,8.25836,k,2,y,0.01,10.738612,0.7690342103802614
2000.0,200.0,6.3,8.41985,k,2,y,0.01,11.06889,0.7606769965190728
2000.0,200.0,6.4,8.572289999999999,k,2,y,0.01,11.436366,0.7495641535082035
2000.0,200.0,6.5,8.74638,k,2,y,0.01,11.79428,0.7415781209196323
2000.0,200.0,6.6,8.885710000000003,k,2,y,0.01,12.149974,0.7313357213768525
2000.0,200.0,6.7,9.04929,k,2,y,0.01,12.539661,0.721653480106041
2000.0,200.0,6.8,9.18387,k,2,y,0.01,12.896404,0.7121264191165227
2000.0,200.0,6.9,13.1567,k,2,y,0.01,13.29259,0.9897770111016739
2000.0,200.0,7.0,13.3638,k,2,y,0.01,13.678574,0.9769878058926318
2000.0,200.0,7.1,14.0477,k,2,y,0.01,14.06112,0.9990455952299675
2000.0,200.0,7.2,14.4015,k,2,y,0.01,14.480264,0.9945605964090157
2000.0,200.0,7.3,14.6344,k,2,y,0.01,14.863483,0.9845875290468593
2000.0,200.0,7.4,14.9855,k,2,y,0.01,15.288343,0.9801912476715103
2000.0,200.0,7.5,15.3856,k,2,y,0.01,15.702444,0.9798219945888679
2000.0,200.0,7.6,15.8432,k,2,y,0.01,16.111802,0.9833288666283262
2000.0,200.0,7.7,16.3458,k,2,y,0.01,16.560422,0.9870400645587414
2000.0,200.0,7.8,16.8106,k,2,y,0.01,16.970129,0.9905994232571833
2000.0,200.0,7.9,17.3148,k,2,y,0.01,17.423625,0.9937541699847191
2000.0,200.0,8.0,17.7758,k,2,y,0.01,17.865892,0.9949573186718021
2000.0,200.0,8.1,18.2341,k,2,y,0.01,18.302019,0.9962889886629448
2000.0,200.0,8.2,18.7064,k,2,y,0.01,18.780134,0.9960738299311388
2000.0,200.0,8.3,19.1299,k,2,y,0.01,19.21634,0.9955017448692103
2000.0,200.0,8.4,19.599,k,2,y,0.01,19.698435,0.9949521370606346
2000.0,200.0,8.5,20.0321,k,2,y,0.01,20.168918,0.9932163936607803
2000.0,200.0,8.6,20.4739,k,2,y,0.01,20.631772,0.9923481124161317
2000.0,200.0,8.7,20.9406,k,2,y,0.01,21.1394,0.9905957595769038
2000.0,200.0,8.8,21.364,k,2,y,0.01,21.602117,0.988977145156653
2000.0,200.0,8.9,21.8427,k,2,y,0.01,22.112774,0.9877865165175568
2000.0,200.0,9.0,22.2865,k,2,y,0.01,22.61152,0.9856259110400363
2000.0,200.0,9.1,22.7433,k,2,y,0.01,23.101062,0.9845131795239545
2000.0,200.0,9.2,23.2276,k,2,y,0.01,23.63822,0.9826289796778268
2000.0,200.0,9.3,23.6666,k,2,y,0.01,24.127461,0.9808989018778229
2000.0,200.0,9.4,24.1648,k,2,y,0.01,24.66664,0.9796551131406628
2000.0,200.0,9.5,24.6255,k,2,y,0.01,25.1937,0.9774467426380404
2000.0,200.0,9.6,25.1001,k,2,y,0.01,25.709888,0.9762819659113257
2000.0,200.0,9.7,25.6033,k,2,y,0.01,26.276592,0.9743767380488307
2000.0,200.0,9.8,26.0584,k,2,y,0.01,26.792372,0.9726051877750875
2000.0,200.0,9.9,26.5765,k,2,y,0.01,27.360035,0.9713620614885909
2000.0,200.0,10.0,27.0541,k,2,y,0.01,27.915457,0.9691440838672281
2000.0,200.0,10.1,27.5476,k,2,y,0.01,28.458251,0.9680004579339749
2000.0,200.0,10.2,28.0712,k,2,y,0.01,29.054518,0.9661561069435053
2000.0,200.0,10.3,28.5443,k,2,y,0.01,29.596851,0.9644370612265474
2000.0,200.0,10.4,29.0848,k,2,y,0.01,30.192957,0.963297500142169
2000.0,200.0,10.5,29.5827,k,2,y,0.01,30.776791,0.9612015755638721
2000.0,200.0,10.6,30.0983,k,2,y,0.01,31.346151,0.9601912528271812
2000.0,200.0,10.7,30.6456,k,2,y,0.01,31.971995,0.9585138493860018
2000.0,200.0,10.8,31.1403,k,2,y,0.01,32.540897,0.9569588693268043
2000.0,200.0,10.9,31.7065,k,2,y,0.01,33.165406,0.9560112124060837
2000.0,200.0,11.0,32.2272,k,2,y,0.01,33.777703,0.9540968490367744
2000.0,200.0,11.1,32.7674,k,2,y,0.01,34.373588,0.95327261151789
2000.0,200.0,11.2,33.3404,k,2,y,0.01,35.029025,0.9517935483502611
2000.0,200.0,11.3,33.858000000000004,k,2,y,0.01,35.624512,0.950413018990969
2000.0,200.0,11.4,34.4558,k,2,y,0.01,36.277382,0.9497873909423784
2000.0,200.0,11.5,34.9952,k,2,y,0.01,36.918192,0.9479120754342466
2000.0,200.0,11.6,35.5601,k,2,y,0.01,37.540562,0.9472447428996933
2000.0,200.0,11.7,36.1586,k,2,y,0.01,38.225606,0.9459261417595316
2000.0,200.0,11.8,36.6988,k,2,y,0.01,38.847696,0.9446840811357256
2000.0,200.0,11.9,37.3177,k,2,y,0.01,39.528885,0.9440615387962499
2000.0,200.0,12.0,37.8844,k,2,y,0.01,40.198258,0.9424388489670372
2000.0,200.0,12.1,38.4733,k,2,y,0.01,40.847074,0.9418863147945432
2000.0,200.0,12.2,39.0963,k,2,y,0.01,41.561738,0.940680103416272
2000.0,200.0,12.3,39.6578,k,2,y,0.01,42.210449,0.9395256610513668
2000.0,200.0,12.4,40.302,k,2,y,0.01,42.919915,0.9390046555311211
2000.0,200.0,12.5,40.8907,k,2,y,0.01,43.617901,0.9374751893723634
2000.0,200.0,12.6,41.5029,k,2,y,0.01,44.293124,0.9370054819343968
2000.0,200.0,12.7,42.15,k,2,y,0.01,45.03742,0.9358884234487678
2000.0,200.0,12.8,42.7332,k,2,y,0.01,45.712771,0.9348197246673146
2000.0,200.0,12.9,43.4026,k,2,y,0.01,46.45047,0.9343845175301778
2000.0,200.0,13.0,44.0132,k,2,y,0.01,47.177122,0.9329352477245221
2000.0,200.0,13.1,44.6494,k,2,y,0.01,47.878712,0.9325522374119003
2000.0,200.0,13.2,45.3212,k,2,y,0.01,48.652653,0.9315257690058546
2000.0,200.0,13.3,45.9262,k,2,y,0.01,49.354663,0.9305341624964596
2000.0,200.0,13.4,46.6215,k,2,y,0.01,50.120552,0.930187281257397
2000.0,200.0,13.5,47.2549,k,2,y,0.01,50.87592,0.92882644677482
2000.0,200.0,13.6,47.9151,k,2,y,0.01,51.603839,0.9285181282733636
2000.0,200.0,13.7,48.6114,k,2,y,0.01,52.407436,0.9275668437585843
2000.0,200.0,13.8,49.2384,k,2,y,0.01,53.136126,0.9266464024870763
2000.0,200.0,13.9,49.9588,k,2,y,0.01,53.93016,0.9263610565961606
2000.0,200.0,14.0,50.6131,k,2,y,0.01,54.714295,0.9250434461414517
2100.0,200.0,0.1,0.00455842,k,2,y,0.01,0.002696,1.690808605341246
2100.0,200.0,0.2,0.0131316,k,2,y,0.01,0.011463,1.14556398848469
2100.0,200.0,0.3,0.0254292,k,2,y,0.01,0.024664,1.0310249756730459
2100.0,200.0,0.4,0.0449025,k,2,y,0.01,0.045022,0.997345742081649
2100.0,200.0,0.5,0.0693722,k,2,y,0.01,0.069789,0.9940277121036265
2100.0,200.0,0.6,0.100163,k,2,y,0.01,0.099902,1.002612560309103
2100.0,200.0,0.7,0.140025,k,2,y,0.01,0.137821,1.0159917574244854
2100.0,200.0,0.8,0.182628,k,2,y,0.01,0.177426,1.0293192654966015
2100.0,200.0,0.9,0.23684,k,2,y,0.01,0.22688,1.0438998589562765
2100.0,200.0,1.0,0.295335,k,2,y,0.01,0.279155,1.0579606311905574
2100.0,200.0,1.1,0.360397,k,2,y,0.01,0.33664,1.0705709363117872
2100.0,200.0,1.2,0.4374770000000001,k,2,y,0.01,0.403739,1.0835638865702846
2100.0,200.0,1.3,0.514316,k,2,y,0.01,0.469748,1.0948764018154415
2100.0,200.0,1.4,0.605603,k,2,y,0.01,0.54827,1.104570740693454
2100.0,200.0,1.5,0.700363,k,2,y,0.01,0.628098,1.1150537018108637
2100.0,200.0,1.6,0.799736,k,2,y,0.01,0.712912,1.1217878223399242
2100.0,200.0,1.7,0.913814,k,2,y,0.01,0.809216,1.1292584427396393
2100.0,200.0,1.8,1.02351,k,2,y,0.01,0.901631,1.1351761419028406
2100.0,200.0,1.9,1.14865,k,2,y,0.01,1.009191,1.1381889057670946
2100.0,200.0,2.0,1.2764,k,2,y,0.01,1.116618,1.14309459457039
2100.0,200.0,2.1,1.40476,k,2,y,0.01,1.228716,1.1432747681319362
2100.0,200.0,2.2,1.55041,k,2,y,0.01,1.354252,1.1448460109344494
2100.0,200.0,2.3,1.6865,k,2,y,0.01,1.473076,1.1448832239477122
2100.0,200.0,2.4,1.83747,k,2,y,0.01,1.609644,1.141538128927887
2100.0,200.0,2.5,1.99168,k,2,y,0.01,1.744716,1.1415496848770803
2100.0,200.0,2.6,2.14017,k,2,y,0.01,1.884053,1.1359393817477534
2100.0,200.0,2.7,2.30843,k,2,y,0.01,2.038847,1.132223261480631
2100.0,200.0,2.8,2.46391,k,2,y,0.01,2.184083,1.1281210466818339
2100.0,200.0,2.9,2.63116,k,2,y,0.01,2.349628,1.1198198182861288
2100.0,200.0,3.0,2.8029,k,2,y,0.01,2.512391,1.1156304890441018
2100.0,200.0,3.1,2.96424,k,2,y,0.01,2.678924,1.1065039545728061
2100.0,200.0,3.2,3.14649,k,2,y,0.01,2.862999,1.0990188959199776
2100.0,200.0,3.3,3.31237,k,2,y,0.01,3.034651,1.091515960154891
2100.0,200.0,3.4,3.48844,k,2,y,0.01,3.229143,1.0802990143205178
2100.0,200.0,3.5,3.67115,k,2,y,0.01,3.419643,1.0735477358309038
2100.0,200.0,3.6,3.83636,k,2,y,0.01,3.613328,1.0617248143539695
2100.0,200.0,3.7,4.02564,k,2,y,0.01,3.82671,1.0519846029618132
2100.0,200.0,3.8,4.19802,k,2,y,0.01,4.024783,1.0430425690030989
2100.0,200.0,3.9,4.37496,k,2,y,0.01,4.248188,1.0298414288633178
2100.0,200.0,4.0,4.56257,k,2,y,0.01,4.466473,1.0215151865912993
2100.0,200.0,4.1,4.72994,k,2,y,0.01,4.687267,1.0091040258641122
2100.0,200.0,4.2,4.92017,k,2,y,0.01,4.929977,0.9980107412265817
2100.0,200.0,4.3,5.09306,k,2,y,0.01,5.154477,0.9880847271216848
2100.0,200.0,4.4,5.26971,k,2,y,0.01,5.406764,0.9746513811218688
2100.0,200.0,4.5,5.4585,k,2,y,0.01,5.65288,0.9656139879141252
2100.0,200.0,4.6,5.62138,k,2,y,0.01,5.900739,0.9526569468671636
2100.0,200.0,4.7,5.81112,k,2,y,0.01,6.172801,0.9414073124988154
2100.0,200.0,4.8,5.9840300000000015,k,2,y,0.01,6.423734,0.931550092204939
2100.0,200.0,4.9,6.15421,k,2,y,0.01,6.704869,0.9178717734828227
2100.0,200.0,5.0,6.34258,k,2,y,0.01,6.978864,0.9088269953390695
2100.0,200.0,5.1,6.5037699999999985,k,2,y,0.01,7.253746,0.8966084558240665
2100.0,200.0,5.2,6.68847,k,2,y,0.01,7.555182,0.8852824458762211
2100.0,200.0,5.3,6.858630000000002,k,2,y,0.01,7.832555,0.8756567939835725
2100.0,200.0,5.4,7.026089999999999,k,2,y,0.01,8.142505,0.8628904741231352
2100.0,200.0,5.5,7.21132,k,2,y,0.01,8.444426,0.8539739705220935
2100.0,200.0,5.6,7.3656,k,2,y,0.01,8.746287,0.8421402133270952
2100.0,200.0,5.7,7.54787,k,2,y,0.01,9.077119,0.8315270516999942
2100.0,200.0,5.8,7.71632,k,2,y,0.01,9.38094,0.822552963775485
2100.0,200.0,5.9,7.87392,k,2,y,0.01,9.719671,0.8101014941760889
2100.0,200.0,6.0,8.05738,k,2,y,0.01,10.049564,0.8017641362351641
2100.0,200.0,6.1,8.20893,k,2,y,0.01,10.378363,0.790965781405025
2100.0,200.0,6.2,8.38358,k,2,y,0.01,10.738612,0.780694935248615
2100.0,200.0,6.3,8.54767,k,2,y,0.01,11.06889,0.7722246765484163
2100.0,200.0,6.4,8.70298,k,2,y,0.01,11.436366,0.7609917346122012
2100.0,200.0,6.5,8.88043,k,2,y,0.01,11.79428,0.752943799875872
2100.0,200.0,6.6,9.02331,k,2,y,0.01,12.149974,0.7426608484923507
2100.0,200.0,6.7,9.19277,k,2,y,0.01,12.539661,0.733095575709742
2100.0,200.0,6.8,9.34666,k,2,y,0.01,12.896404,0.7247493177167836
2100.0,200.0,6.9,9.45555,k,2,y,0.01,13.29259,0.7113399269818749
2100.0,200.0,7.0,13.4416,k,2,y,0.01,13.678574,0.9826755332829284
2100.0,200.0,7.1,13.7941,k,2,y,0.01,14.06112,0.9810100475637786
2100.0,200.0,7.2,14.4693,k,2,y,0.01,14.480264,0.9992428314842879
2100.0,200.0,7.3,14.7772,k,2,y,0.01,14.863483,0.9941949676263632
2100.0,200.0,7.4,15.0677,k,2,y,0.01,15.288343,0.985567893132696
2100.0,200.0,7.5,15.4333,k,2,y,0.01,15.702444,0.9828597382674952
2100.0,200.0,7.6,15.8089,k,2,y,0.01,16.111802,0.9811999924030843
2100.0,200.0,7.7,16.2912,k,2,y,0.01,16.560422,0.9837430471276638
2100.0,200.0,7.8,16.7551,k,2,y,0.01,16.970129,0.9873289708051128
2100.0,200.0,7.9,17.2694,k,2,y,0.01,17.423625,0.9911485124364189
2100.0,200.0,8.0,17.745,k,2,y,0.01,17.865892,0.9932333633271713
2100.0,200.0,8.1,18.2184,k,2,y,0.01,18.302019,0.9954311598081063
2100.0,200.0,8.2,18.7041,k,2,y,0.01,18.780134,0.9959513600914669
2100.0,200.0,8.3,19.1386,k,2,y,0.01,19.21634,0.9959544845688618
2100.0,200.0,8.4,19.616,k,2,y,0.01,19.698435,0.9958151497822035
2100.0,200.0,8.5,20.0548,k,2,y,0.01,20.168918,0.9943418878494126
2100.0,200.0,8.6,20.5003,k,2,y,0.01,20.631772,0.9936276922796548
2100.0,200.0,8.7,20.969,k,2,y,0.01,21.1394,0.9919392224944891
2100.0,200.0,8.8,21.3931,k,2,y,0.01,21.602117,0.990324235351563
2100.0,200.0,8.9,21.8713,k,2,y,0.01,22.112774,0.9890798865850119
2100.0,200.0,9.0,22.3141,k,2,y,0.01,22.61152,0.9868465277876056
2100.0,200.0,9.1,22.7692,k,2,y,0.01,23.101062,0.9856343401009011
2100.0,200.0,9.2,23.2514,k,2,y,0.01,23.63822,0.9836358236787711
2100.0,200.0,9.3,23.6882,k,2,y,0.01,24.127461,0.9817941473410733
2100.0,200.0,9.4,24.1839,k,2,y,0.01,24.66664,0.9804294383020955
2100.0,200.0,9.5,24.6421,k,2,y,0.01,25.1937,0.9781056375204912
2100.0,200.0,9.6,25.1142,k,2,y,0.01,25.709888,0.9768303930378849
2100.0,200.0,9.7,25.615,k,2,y,0.01,26.276592,0.9748220012701798
2100.0,200.0,9.8,26.0678,k,2,y,0.01,26.792372,0.9729560339039782
2100.0,200.0,9.9,26.5837,k,2,y,0.01,27.360035,0.9716252190466862
2100.0,200.0,10.0,27.0594,k,2,y,0.01,27.915457,0.9693339428403411
2100.0,200.0,10.1,27.5512,k,2,y,0.01,28.458251,0.9681269590320221
2100.0,200.0,10.2,28.0733,k,2,y,0.01,29.054518,0.966228384859112
2100.0,200.0,10.3,28.5451,k,2,y,0.01,29.596851,0.9644640911291543
2100.0,200.0,10.4,29.0847,k,2,y,0.01,30.192957,0.9632941881114858
2100.0,200.0,10.5,29.5818,k,2,y,0.01,30.776791,0.9611723327490511
