k,c,freq,rms,variacao,mecanismo,oscilacao,amplitude_m,rms_harmonico,transmissibilidade
2000.0,200.0,6.6,10.1963,k,3,x,0.01,12.149974,0.8392034419168305
2000.0,200.0,6.7,10.4932,k,3,x,0.01,12.539661,0.8368009310618524
2000.0,200.0,6.8,10.7623,k,3,x,0.01,12.896404,0.8345194520891249
2000.0,200.0,6.9,11.0539,k,3,x,0.01,13.29259,0.8315836116212115
2000.0,200.0,7.0,11.3473,k,3,x,0.01,13.678574,0.8295674680708677
2000.0,200.0,7.1,11.6252,k,3,x,0.01,14.06112,0.8267620218019617
2000.0,200.0,7.2,11.9379,k,3,x,0.01,14.480264,0.8244255767712523
2000.0,200.0,7.3,12.22,k,3,x,0.01,14.863483,0.8221491557530627
2000.0,200.0,7.4,12.5267,k,3,x,0.01,15.288343,0.8193628308836347
2000.0,200.0,7.5,12.836,k,3,x,0.01,15.702444,0.8174523660138511
2000.0,200.0,7.6,13.1266,k,3,x,0.01,16.111802,0.8147195453370144
2000.0,200.0,7.7,13.4552,k,3,x,0.01,16.560422,0.8124913725024641
2000.0,200.0,7.8,13.7523,k,3,x,0.01,16.970129,0.8103827613803054
2000.0,200.0,7.9,14.0733,k,3,x,0.01,17.423625,0.8077136646363773
2000.0,200.0,8.0,14.3975,k,3,x,0.01,17.865892,0.8058651647508002
2000.0,200.0,8.1,14.7029,k,3,x,0.01,18.302019,0.8033485267390444
2000.0,200.0,8.2,15.0471,k,3,x,0.01,18.780134,0.8012243150128748
2000.0,200.0,8.3,15.3572,k,3,x,0.01,19.21634,0.7991740362628889
2000.0,200.0,8.4,15.6934,k,3,x,0.01,19.698435,0.7966825790982888
2000.0,200.0,8.5,16.0333,k,3,x,0.01,20.168918,0.7949509239910638
2000.0,200.0,8.6,16.351,k,3,x,0.01,20.631772,0.7925155435025163
2000.0,200.0,8.7,16.7109,k,3,x,0.01,21.1394,0.7905096644181008
2000.0,200.0,8.8,17.036,k,3,x,0.01,21.602117,0.7886264110133281
2000.0,200.0,8.9,17.3859,k,3,x,0.01,22.112774,0.786237855096787
2000.0,200.0,9.0,17.7406,k,3,x,0.01,22.61152,0.7845823721713534
2000.0,200.0,9.1,18.073,k,3,x,0.01,23.101062,0.7823449848322991
2000.0,200.0,9.2,18.448,k,3,x,0.01,23.63822,0.7804310138411437
2000.0,200.0,9.3,18.7859,k,3,x,0.01,24.127461,0.7786107290775437
2000.0,200.0,9.4,19.151,k,3,x,0.01,24.66664,0.7763927312353851
2000.0,200.0,9.5,19.5209,k,3,x,0.01,25.1937,0.7748325970381484
2000.0,200.0,9.6,19.8654,k,3,x,0.01,25.709888,0.7726754780106394
2000.0,200.0,9.7,20.4494,k,3,x,0.01,26.276592,0.7782363862102056
2000.0,200.0,9.8,20.6087,k,3,x,0.01,26.792372,0.769200278347882
2000.0,200.0,9.9,20.9868,k,3,x,0.01,27.360035,0.7670604222545767
2000.0,200.0,10.0,21.3714,k,3,x,0.01,27.915457,0.7655758599975634
2000.0,200.0,10.1,21.7305,k,3,x,0.01,28.458251,0.7635922530868112
2000.0,200.0,10.2,22.1355,k,3,x,0.01,29.054518,0.761860857578157
2000.0,200.0,10.3,22.5007,k,3,x,0.01,29.596851,0.7602396619829589
2000.0,200.0,10.4,22.8934,k,3,x,0.01,30.192957,0.7582364324236278
2000.0,200.0,10.5,23.2925,k,3,x,0.01,30.776791,0.7568202935777157
2000.0,200.0,10.6,23.6625,k,3,x,0.01,31.346151,0.7548773691545096
2000.0,200.0,10.7,24.082,k,3,x,0.01,31.971995,0.753221686666722
2000.0,200.0,10.8,24.4609,k,3,x,0.01,32.540897,0.7516971643406142
2000.0,200.0,10.9,24.865,k,3,x,0.01,33.165406,0.7497269896228619
2000.0,200.0,11.0,25.2771,k,3,x,0.01,33.777703,0.7483368540483644
2000.0,200.0,11.1,25.6599,k,3,x,0.01,34.373588,0.7465004817070595
2000.0,200.0,11.2,26.0913,k,3,x,0.01,35.029025,0.7448480224613732
2000.0,200.0,11.3,26.4801,k,3,x,0.01,35.624512,0.7433112346914393
2000.0,200.0,11.4,26.8962,k,3,x,0.01,36.277382,0.7414041068343906
2000.0,200.0,11.5,27.3193,k,3,x,0.01,36.918192,0.7399956097525036
2000.0,200.0,11.6,27.7096,k,3,x,0.01,37.540562,0.7381242720873491
2000.0,200.0,11.7,28.1518,k,3,x,0.01,38.225606,0.7364644526498809
2000.0,200.0,11.8,28.5504,k,3,x,0.01,38.847696,0.734931616021707
2000.0,200.0,11.9,28.9739,k,3,x,0.01,39.528885,0.7329804521427811
2000.0,200.0,12.0,29.4061,k,3,x,0.01,40.198258,0.731526724367011
2000.0,200.0,12.1,29.8055,k,3,x,0.01,40.847074,0.7296850687518034
2000.0,200.0,12.2,30.2555,k,3,x,0.01,41.561738,0.7279652260932881
2000.0,200.0,12.3,30.6606,k,3,x,0.01,42.210449,0.7263746471874772
2000.0,200.0,12.4,31.0928,k,3,x,0.01,42.919915,0.724437594995237
2000.0,200.0,12.5,31.5329,k,3,x,0.01,43.617901,0.72293483356753
2000.0,200.0,12.6,31.9372,k,3,x,0.01,44.293124,0.7210419386991083
2000.0,200.0,12.7,32.3963,k,3,x,0.01,45.03742,0.7193196235485958
2000.0,200.0,12.8,32.8097,k,3,x,0.01,45.712771,0.7177359692327556
2000.0,200.0,12.9,33.2478,k,3,x,0.01,46.45047,0.7157688608963482
2000.0,200.0,13.0,33.6964,k,3,x,0.01,47.177122,0.7142529805018627
2000.0,200.0,13.1,34.1097,k,3,x,0.01,47.878712,0.7124189138588356
2000.0,200.0,13.2,34.5761,k,3,x,0.01,48.652653,0.710672447810811
2000.0,200.0,13.3,34.9959,k,3,x,0.01,49.354663,0.7090697792830638
2000.0,200.0,13.4,35.4431,k,3,x,0.01,50.120552,0.707157016147787
2000.0,200.0,13.5,35.8992,k,3,x,0.01,50.87592,0.7056226206818471
2000.0,200.0,13.6,36.3168,k,3,x,0.01,51.603839,0.7037615941713173
2000.0,200.0,13.7,36.7917,k,3,x,0.01,52.407436,0.7020320551457622
2000.0,200.0,13.8,37.2185,k,3,x,0.01,53.136126,0.7004368365130721
2000.0,200.0,13.9,37.6695,k,3,x,0.01,53.93016,0.698486709477591
2000.0,200.0,14.0,38.1322,k,3,x,0.01,54.714295,0.696933040990476
2100.0,200.0,0.1,0.0138174,k,3,x,0.01,0.002696,5.125148367952522
2100.0,200.0,0.2,0.0294801,k,3,x,0.01,0.011463,2.571761319026433
2100.0,200.0,0.3,0.047783,k,3,x,0.01,0.024664,1.9373580927667857
2100.0,200.0,0.4,0.0710926,k,3,x,0.01,0.045022,1.5790635689218606
2100.0,200.0,0.5,0.0985556,k,3,x,0.01,0.069789,1.4121938987519522
